i,energy group,exterior average coarseness,factor,interior average coarseness,interior coarseness,mode,num interior surfs,ratio,size,total average coarseness
72,2,0.048,0.4,0.08717315007890904,"set([0.08243780313545565, 0.08984975973528189, 0.08167132090282227])",dc,3,9,1.0754432678222656,0.05570333422559003
73,0,0.048,0.4,0.09036615681287419,"set([0.09140344807645039, 0.087996398329004, 0.283431219866527])",dc,3,9,1.3198661804199219,0.060452090153498374
74,1,0.048,0.4,0.08948657639841448,"set([0.08576388902138608, 0.0909185393319724])",dc,2,9,1.0196800231933594,0.05483397577973766
75,2,0.048,0.4,0.08941935168544629,"set([0.08572208618661203, 0.09896040401064284, 0.09098713220939071, 0.08820209999927349])",dc,4,8,1.115264892578125,0.05675528889633815
76,0,0.048,0.4,0.08922627051440432,"set([1.2385074855020668, 0.3485776741500441, 0.796322010417879, 0.0856209892717524, 0.09074568515493547, 3.203019967119867])",dc,6,8,1.3405914306640625,0.060526429666328346
77,1,0.048,0.4,0.08956237115204373,"set([0.09127361377278087, 0.08547919569437297])",dc,2,8,1.0368232727050781,0.05520735543024946
78,2,0.048,0.4,0.08440089681824359,set([0.08440089681824359]),dc,1,10,0.8310165405273438,0.05007779954494288
79,0,0.048,0.4,0.08434479665901293,set([0.08434479665901293]),dc,1,10,0.9063186645507812,0.051894528853586336
80,1,0.048,0.4,0.0829647910524232,set([0.0829647910524232]),dc,1,10,0.815155029296875,0.049628671659682655
81,2,0.048,0.4,0.08848501626866614,"set([0.09056440766101896, 0.926690686037683, 0.08884386599031181, 0.09064918858277557, 0.15506084529297218, 0.083308685390209])",dc,6,7,1.1467056274414062,0.057201594076773735
82,0,0.048,0.4,0.08984791521947669,"set([0.08842498593993546, 0.16231965596211362, 0.08479769132718304, 1.69861028126965, 0.09157527133409138])",dc,5,7,1.4655303955078125,0.06242757433154491
83,1,0.048,0.4,0.08886339240640787,"set([0.711792912988814, 0.08384708056114273, 0.0908742372323382, 0.1786496616179996])",dc,4,7,1.0552330017089844,0.05550237571884708
84,2,0.048,0.4,0.08766547098488972,"set([0.09141464025940782, 0.08124150682618882, 0.08548935200424901, 0.07190433506032332])",dc,4,6,1.1864013671875,0.057783989473477224
85,0,0.048,0.4,0.08963780707984716,"set([0.08815384960828841, 0.09137349124012062, 0.797210821955369, 0.08615585261244244])",dc,4,6,1.5264739990234375,0.06316502589346948
86,1,0.048,0.4,0.08953945002192708,"set([3.5576901468145135, 0.0928828428761935, 0.08562147070449491, 0.0841190213846655])",dc,4,6,1.1221656799316406,0.05690479012718068
87,2,0.048,0.4,0.08818060946576692,"set([0.09161134679210925, 0.08524324291020448, 0.087383273701531, 0.071932236931565, 0.08434493085806634])",dc,5,5,1.2574653625488281,0.05904140606604372
88,0,0.048,0.4,0.09025173848659292,"set([0.20549145013190112, 55.78132094436728, 0.09168746037077335, 0.08718348403159269, 0.08977606082912451, 0.27447573008737214, 0.0912111996356104])",dc,7,5,2.3021621704101562,0.06508587482976698
89,1,0.048,0.4,0.08989164881281803,"set([0.08644063327108552, 0.09227745155799852, 0.30726691037575893, 0.2555028528794548, 0.08692125243623598])",dc,5,5,1.1701698303222656,0.05784368986064557
90,0,0.032,0.6,0.071751082509662,"set([0.283431219866527, 0.05854109733686286, 0.07776363037250779])",dc,3,9,0.9637832641601562,0.04369509653569096
91,1,0.032,0.6,0.06438574880525358,"set([0.06718437950740734, 0.05710373088342044])",dc,2,9,0.7052536010742188,0.03734074944069743
92,2,0.032,0.6,0.060318796306184815,"set([0.05494058226579986, 0.054609363939180804, 0.06328696406384308])",dc,3,9,0.7365036010742188,0.03757132977102128
93,0,0.032,0.6,0.07201066726680747,"set([0.05700433826739127, 0.07914582866159937, 1.2385074855020668, 0.3485776741500442, 0.796322010417879, 3.203019967119867])",dc,6,8,0.9879531860351562,0.04416693822827865
94,1,0.032,0.6,0.06617270938657828,"set([0.056911476268318925, 0.07005694294375057])",dc,2,8,0.7229576110839844,0.03792976530726914
95,2,0.032,0.6,0.06334153832782922,"set([0.057076982254930034, 0.07104794507933271, 0.05888421799416911, 0.06659953097991625])",dc,4,8,0.7702369689941406,0.03863094418831731
96,0,0.032,0.6,0.05614984079957552,set([0.05614984079957552]),dc,1,10,0.6152839660644531,0.03459046062319519
97,1,0.032,0.6,0.05530965869022132,set([0.05530965869022132]),dc,1,10,0.5545616149902344,0.0330864565090597
98,2,0.032,0.6,0.05625393527475751,set([0.05625393527475751]),dc,1,10,0.5651359558105469,0.03338542960491839
99,0,0.032,0.6,0.07089060314809174,"set([0.0802579666676324, 0.05888717202818124, 0.056459450262381916, 0.16231965596211356, 1.69861028126965])",dc,5,7,1.0758819580078125,0.045415847714163404
100,1,0.032,0.6,0.06841967284324113,"set([0.07384324542000023, 0.7117929129888138, 0.17864966161799964, 0.05588963769728844])",dc,4,7,0.7459335327148438,0.038688466956764415
101,2,0.032,0.6,0.0649594371719218,"set([0.059167985882784026, 0.07057065538934099, 0.9266906860376832, 0.06077493950614785, 0.15506084529297218, 0.05550495903220208])",dc,6,7,0.8027992248535156,0.039498337821859485
102,0,0.032,0.6,0.0716510482851246,"set([0.05736825356666813, 0.797210821955369, 0.0587358590852441, 0.08287762522006388])",dc,4,6,1.1319389343261719,0.04644972163277225
103,1,0.032,0.6,0.06905901161945059,"set([3.557690146814513, 0.05707781248684669, 0.055981464803917524, 0.07778304815196549])",dc,4,6,0.7980461120605469,0.0399475288645824
104,2,0.032,0.6,0.06654565998227452,"set([0.07571781484230927, 0.04820401601125139, 0.056927061029627246, 0.05416131667087217])",dc,4,6,0.8423347473144531,0.04052363314387035
105,0,0.032,0.6,0.0715089942823772,"set([0.20549145013190112, 0.061153751926238654, 0.0847825969724916, 0.05804463877770325, 55.78132094436728, 0.05981621472326408, 0.27447573008737214])",dc,7,5,1.7071037292480469,0.0479840107491276
106,1,0.032,0.6,0.07098814481399443,"set([0.08158164484326039, 0.30726691037575893, 0.2555028528794548, 0.05792745687153625, 0.05759306757901322])",dc,5,5,0.842926025390625,0.04116773633586277
107,2,0.032,0.6,0.06875811308028167,"set([0.058373995840699355, 0.071932236931565, 0.08037034687061588, 0.05679243613465168, 0.05619885834336021])",dc,5,5,0.906829833984375,0.042105296924421234
108,2,0.04,0.5,0.07265950437630694,"set([0.07487117882730834, 0.06822669804228228, 0.06871397165356881])",dc,3,9,0.9019279479980469,0.04642264576975745
109,1,0.04,0.5,0.07459473849560529,"set([0.07142219981667793, 0.07581603273920985])",dc,2,9,0.855377197265625,0.04569812248971229
110,0,0.04,0.5,0.07638890902463179,"set([0.07327506524547217, 0.283431219866527, 0.07776363037250779])",dc,3,9,1.1128654479980469,0.05070403358753515
111,2,0.04,0.5,0.0745162446553789,"set([0.07579600674270166, 0.07362899930180249, 0.07139784737381856, 0.0833211312078806])",dc,4,8,0.9351806640625,0.04729762626269643
112,1,0.04,0.5,0.0746671058724358,"set([0.0761457492656563, 0.07114398888593591])",dc,2,8,0.8696365356445312,0.04600980915961185
113,0,0.04,0.5,0.07673489881899793,"set([0.07914582866159936, 1.2385074855020655, 0.07131056935977999, 0.34857767415004415, 0.7963220104178788, 3.203019967119867])",dc,6,8,1.1390380859375,0.051169482449227185
114,2,0.04,0.5,0.07036205048765622,set([0.07036205048765622]),dc,1,10,0.6981163024902344,0.041733810652727424
115,1,0.04,0.5,0.06918297749820225,set([0.06918297749820225]),dc,1,10,0.6848983764648438,0.04135986097641961
116,0,0.04,0.5,0.07025458961304526,set([0.07025458961304526]),dc,1,10,0.7608413696289062,0.04324389146777376
